station_key,station_name,charging_station_operator,energy_consumed_kwh_sum,energy_consumed_kwh_mean,charging_duration_hours_mean,charging_rate_kw_mean,sessions_count,popular_vehicle_model,peak_time_of_day,peak_day_of_week,latitude,longitude,city,state,charging_station_location,stations_within_2km,energy_consumed_kwh,charging_duration_hours,state_of_charge_start,state_of_charge_end,avg_soc_delta,weekend_share,sessions_count_norm,energy_consumed_kwh_mean_norm,charging_duration_hours_mean_norm,avg_soc_delta_norm,weekend_share_norm,stations_within_2km_norm,suitability_score
"1059/1060,_adarsh_nagar,_near_infinity_mall,_off_new_link_road,_andheri_west,_mumbai,_maharashtra_400053","1059/1060, Adarsh nagar, near infinity mall, Off New Link Road, Andheri West, Mumbai, Maharashtra 400053",Ather,56.1150925,56.1150925,10.22,5.488039505,3,Hyundai Kona,Night,Friday,19.14207,72.83241,Mumbai,Maharashtra,"1059/1060, Adarsh nagar, near infinity mall, Off New Link Road, Andheri West, Mumbai, Maharashtra 400053",4,34.00520146266667,5.11,29.48259781666667,68.16925771333332,38.686659896666654,0.0,0.2222222222222222,0.4479876491138325,0.4855243576637504,0.7037424698122874,0.0,0.21052631578947367,0.46230954892603293
"1059/1060,_adarsh_nagar,_near_infinity_mall,_off_new_link_road,_andheri_west,_mumbai,_maharashtra_400053","1059/1060, Adarsh nagar, near infinity mall, Off New Link Road, Andheri West, Mumbai, Maharashtra 400053",Tata Power,5.163807088,5.163807088,0.98,5.265203285,3,Hyundai Kona,Night,Friday,19.14207,72.83241,Mumbai,Maharashtra,"1059/1060, Adarsh nagar, near infinity mall, Off New Link Road, Andheri West, Mumbai, Maharashtra 400053",4,34.00520146266667,5.11,29.48259781666667,68.16925771333332,38.686659896666654,0.0,0.2222222222222222,0.0,0.040018392935542484,0.7037424698122874,0.0,0.21052631578947367,0.30576204017475406
"1059/1060,_adarsh_nagar,_near_infinity_mall,_off_new_link_road,_andheri_west,_mumbai,_maharashtra_400053","1059/1060, Adarsh nagar, near infinity mall, Off New Link Road, Andheri West, Mumbai, Maharashtra 400053",Volttic,40.7367048,40.7367048,4.13,9.866759209,3,Hyundai Kona,Night,Friday,19.14207,72.83241,Mumbai,Maharashtra,"1059/1060, Adarsh nagar, near infinity mall, Off New Link Road, Andheri West, Mumbai, Maharashtra 400053",4,34.00520146266667,5.11,29.48259781666667,68.16925771333332,38.686659896666654,0.0,0.2222222222222222,0.3127736364117798,0.19189542636561335,0.7037424698122874,0.0,0.21052631578947367,0.39914315262070604
"12th_road,_above_upadhyaya_nursing_home,_santacruz_east,_mumbai,_maharashtra","12th Road, Above Upadhyaya Nursing Home, Santacruz East, Mumbai, Maharashtra",Tata Power,47.76784734,47.76784734,1.45,32.99434153,1,MG Comet,Night,Thursday,19.0737,72.857,Mumbai,Maharashtra,"12th Road, Above Upadhyaya Nursing Home, Santacruz East, Mumbai, Maharashtra",2,47.76784734,1.45,13.70945351,97.58940532,83.87995181,0.0,0.0,0.3745947463525511,0.06267941062193401,1.0,0.0,0.10526315789473684,0.3841271539661206
"14,_jp_rd,_aram_nagar,_seven_bunglow,_andheri_west","14, JP Rd, Aram Nagar, Seven Bunglow, Andheri West",Jio-bp Pulse,55.30273056,55.30273056,1.48,37.34746081,1,TATA Tiago,Morning,Thursday,19.13030121,72.82229723,Mumbai,Maharashtra,"14, JP Rd, Aram Nagar, Seven Bunglow, Andheri West",5,55.30273056,1.48,71.91664638,88.37524194,16.458595559999992,0.0,0.0,0.4408449811166,0.06412585855936326,0.5580298836642621,0.0,0.2631578947368421,0.3108546294741993
"157,_jeevan_bima_marg,_backbay_reclamation,_churchgate,_mumbai,_maharashtra_400020,_india","157, Jeevan Bima Marg, Backbay Reclamation, Churchgate, Mumbai, Maharashtra 400020, India",EVteQ,32.34799933,32.34799933,2.13,15.17023592,3,TATA Nexon,Morning,Sunday,18.9285,72.8255,Mumbai,Maharashtra,"157, Jeevan Bima Marg, Backbay Reclamation, Churchgate, Mumbai, Maharashtra 400020, India",12,33.549889512,3.39,39.09737056,77.36795881333335,38.270588253333344,0.6666666666666666,0.2222222222222222,0.2390161951180896,0.09546556387033027,0.7010149774740118,0.6666666666666666,0.631578947368421,0.3074937874601718
"157,_jeevan_bima_marg,_backbay_reclamation,_churchgate,_mumbai,_maharashtra_400020,_india","157, Jeevan Bima Marg, Backbay Reclamation, Churchgate, Mumbai, Maharashtra 400020, India",VoltaPoint,8.234584116,8.234584116,0.19,43.81287256,3,TATA Nexon,Morning,Sunday,18.9285,72.8255,Mumbai,Maharashtra,"157, Jeevan Bima Marg, Backbay Reclamation, Churchgate, Mumbai, Maharashtra 400020, India",12,33.549889512,3.39,39.09737056,77.36795881333335,38.270588253333344,0.6666666666666666,0.2222222222222222,0.0269997149356017,0.0019285972499056628,0.7010149774740118,0.6666666666666666,0.631578947368421,0.24513597075250737
"157,_jeevan_bima_marg,_backbay_reclamation,_churchgate,_mumbai,_maharashtra_400020,_india","157, Jeevan Bima Marg, Backbay Reclamation, Churchgate, Mumbai, Maharashtra 400020, India",Volttic,60.06708509,60.06708509,7.85,7.651570047,3,TATA Nexon,Morning,Sunday,18.9285,72.8255,Mumbai,Maharashtra,"157, Jeevan Bima Marg, Backbay Reclamation, Churchgate, Mumbai, Maharashtra 400020, India",12,33.549889512,3.39,39.09737056,77.36795881333335,38.270588253333344,0.6666666666666666,0.2222222222222222,0.4827354254533949,0.3712549706068399,0.7010149774740118,0.6666666666666666,0.631578947368421,0.3960025357176491
"2/7_meghal_industrial_estate,_devidayal_road,_mulund_west,_mumbai,_maharashtra_400080","2/7 Meghal Industrial Estate, Devidayal Road, Mulund West, Mumbai, Maharashtra 400080",ATUM,25.13233553,25.13233553,1.55,16.20549351,2,Hyundai Kona,Afternoon,Friday,19.17674569,72.94574801,Mumbai,Maharashtra,"2/7 Meghal Industrial Estate, Devidayal Road, Mulund West, Mumbai, Maharashtra 400080",7,30.0137244,4.3500000000000005,43.60849945,91.76483726000001,48.15633781000001,0.0,0.1111111111111111,0.1755726875319893,0.06750090374669818,0.7658194567168324,0.0,0.3684210526315789,0.299141911759344
"2/7_meghal_industrial_estate,_devidayal_road,_mulund_west,_mumbai,_maharashtra_400080","2/7 Meghal Industrial Estate, Devidayal Road, Mulund West, Mumbai, Maharashtra 400080",EVteQ,34.89511327,34.89511327,7.15,4.881436199,2,Hyundai Kona,Afternoon,Friday,19.17674569,72.94574801,Mumbai,Maharashtra,"2/7 Meghal Industrial Estate, Devidayal Road, Mulund West, Mumbai, Maharashtra 400080",7,30.0137244,4.3500000000000005,43.60849945,91.76483726000001,48.15633781000001,0.0,0.1111111111111111,0.26141161805548474,0.33750451873349085,0.7658194567168324,0.0,0.3684210526315789,0.3476020058888971
